,EVENT-ID,DATE,TIME,LAT(deg),LAT-ERR(km),LON(deg),LON-ERR(km),DEPTH(km),RMS(s),AZ-GAP(deg),N_PHASES,MAG(ML)
222,dias2013tjie,2013-10-03,11:31:44.358,53.19685,1.723,-8.51638,1.311,0.0,0.411,85.6,16,0.86
224,dias2013tjla,2013-10-03,12:57:57.681,53.42705,1.204,-8.94784,1.1,0.0,0.4,93.6,29,1.19
226,dias2013tjmg,2013-10-03,13:35:12.483,52.76719,1.381,-6.92826,1.213,0.0,0.492,67.9,26,1.09
228,dias2013tlfz,2013-10-04,12:41:43.271,55.05133,2.227,-6.77787,1.407,0.0,0.345,160.0,26,1.2
229,dias2013tlgm,2013-10-04,12:57:36.837,54.32099,1.78,-5.85324,1.596,0.0,0.513,103.8,20,1.01
230,dias2013tlkg,2013-10-04,14:51:42.459,54.23159,1.035,-6.92226,1.377,0.0,0.602,68.5,32,1.21
231,dias2013tnab,2013-10-05,11:59:09.118,54.32023,0.899,-8.21243,1.411,0.0,0.57,72.3,36,1.3
232,dias2013tqpq,2013-10-07,11:15:55.968,52.5454,1.65,-7.71557,1.233,0.0,0.316,118.8,25,1.15
233,dias2013tqqz,2013-10-07,11:55:57.790,52.63535,2.254,-6.28756,2.972,0.0,0.323,220.6,16,1.02
234,dias2013tqtz,2013-10-07,13:27:14.521,53.36284,2.247,-9.21204,1.452,0.0,0.582,125.2,15,1.17
235,dias2013tqun,2013-10-07,13:43:51.309,51.88661,2.489,-8.15586,3.012,0.0,0.333,153.9,11,1.12
236,dias2013tqwf,2013-10-07,14:34:25.013,55.07967,2.539,-7.83253,1.493,0.0,0.433,155.6,26,0.92
237,dias2013tsln,2013-10-08,11:27:17.433,54.14305,0.966,-7.61566,1.351,0.0,0.613,60.8,33,1.03
239,dias2013tsnr,2013-10-08,12:32:12.428,52.95465,1.599,-7.53099,1.142,0.0,0.442,81.4,21,0.83
240,dias2013tsoq,2013-10-08,13:01:31.376,55.11134,1.151,-7.44839,1.288,0.0,0.568,97.0,38,1.12
241,dias2013tsow,2013-10-08,13:08:36.024,51.81693,1.116,-9.03649,1.375,0.0,0.611,77.4,28,1.02
243,dias2013tsrq,2013-10-08,14:32:53.477,52.58959,1.181,-7.18817,1.142,0.0,0.497,70.0,35,1.17
244,dias2013tssv,2013-10-08,15:09:01.492,53.4121,1.449,-8.14625,1.757,0.0,0.452,85.9,21,0.87
245,dias2013tsuh,2013-10-08,15:52:34.028,54.11798,0.894,-8.18018,1.432,0.0,0.638,78.2,33,1.03
246,dias2013tsvp,2013-10-08,16:32:41.317,52.73512,1.256,-7.67806,1.115,0.0,0.334,77.9,31,0.92
247,dias2013tuds,2013-10-09,09:46:10.547,53.0765,1.376,-8.45117,1.051,0.0,0.392,75.2,29,1.08
248,dias2013tujx,2013-10-09,12:54:18.162,52.90266,1.249,-9.07112,1.298,0.0,0.352,93.4,22,1.36
249,dias2013tukd,2013-10-09,13:01:38.458,53.69607,1.001,-6.3618,1.224,0.0,0.486,55.3,36,1.38
251,dias2013twcv,2013-10-10,11:36:08.129,52.4757,1.531,-8.07693,1.197,0.0,0.377,123.1,29,1.25
252,dias2013twdr,2013-10-10,12:02:16.679,55.0205,0.354,-8.29867,0.354,0.0,0.18,162.0,25,0.94
253,dias2013twej,2013-10-10,12:22:10.671,52.72019,1.033,-8.67152,1.101,0.0,0.406,78.1,35,1.3
254,dias2013twhm,2013-10-10,13:57:37.765,53.412,1.477,-6.33124,1.562,0.0,0.536,108.5,24,1.24
255,dias2013txxg,2013-10-11,11:03:38.209,52.58119,1.132,-9.04563,1.173,0.0,0.608,96.3,33,1.33
257,dias2013txyo,2013-10-11,11:43:18.590,54.56495,1.859,-5.80134,1.169,0.0,0.421,81.1,23,1.1
258,dias2013txzc,2013-10-11,11:59:25.256,53.84307,1.249,-8.79355,1.585,0.0,0.386,93.2,24,1.02
260,dias2013tycc,2013-10-11,13:30:46.233,53.22943,1.111,-6.85083,1.0,0.0,0.462,98.3,34,1.38
261,dias2013tydz,2013-10-11,14:27:55.413,54.24255,0.668,-7.39685,1.03,0.0,0.359,47.2,70,1.54
262,dias2013tzsi,2013-10-12,10:50:25.519,53.7329,0.842,-7.12896,1.037,0.0,0.41,63.7,50,1.1
263,dias2013tzue,2013-10-12,11:46:03.000,53.69302,1.083,-9.54305,1.572,0.0,0.493,122.8,36,1.15
265,dias2013udkc,2013-10-14,11:13:01.986,52.34433,1.982,-7.07932,1.64,0.0,0.468,151.0,19,0.86
266,dias2013udmf,2013-10-14,12:17:10.432,54.3754,0.742,-7.71268,1.198,0.0,0.374,72.4,53,1.14
