,EVENT-ID,DATE,TIME,LAT(deg),LAT-ERR(km),LON(deg),LON-ERR(km),DEPTH(km),RMS(s),AZ-GAP(deg),N_PHASES,MAG(ML)
267,dias2013udms,2013-10-14,12:32:40.537,53.19265,1.447,-6.53524,1.032,0.0,0.563,94.4,29,0.74
268,dias2013udnk,2013-10-14,12:54:15.547,54.80623,0.832,-7.71391,0.924,0.0,0.357,83.2,59,1.33
269,dias2013udnq,2013-10-14,13:00:53.518,54.38952,0.801,-7.39394,1.3,0.0,0.42,64.0,46,1.33
270,dias2013udns,2013-10-14,13:03:22.967,54.39019,0.778,-7.38199,1.414,0.0,0.427,102.2,48,1.22
273,dias2013ufcd,2013-10-15,09:28:25.637,52.77757,2.081,-6.99374,2.835,0.0,0.485,133.4,9,0.8
274,dias2013uffl,2013-10-15,11:08:18.297,51.83912,1.473,-8.80156,1.313,0.0,0.426,104.5,20,1.2
275,dias2013ufgm,2013-10-15,11:40:26.676,51.98154,1.445,-10.213,2.064,0.0,0.713,163.6,24,1.3
276,dias2013ufjw,2013-10-15,13:22:54.215,54.2801,1.128,-7.45223,1.898,0.0,0.396,87.8,29,0.92
277,dias2013ufld,2013-10-15,14:01:28.362,53.44381,0.849,-7.1527,0.843,0.0,0.44,45.9,53,1.42
278,dias2013uhbu,2013-10-16,11:34:44.154,54.0825,1.143,-7.01293,1.682,0.0,0.498,126.3,27,1.0
279,dias2013uhdz,2013-10-16,12:40:17.369,54.62725,1.55,-5.74572,1.224,0.0,0.637,99.3,34,1.28
280,dias2013uhfs,2013-10-16,13:33:14.998,53.86337,1.001,-9.29438,1.519,0.0,0.331,105.1,35,1.27
281,dias2013uiye,2013-10-17,12:00:50.720,53.40998,1.027,-7.02021,1.015,0.0,0.426,46.2,40,1.17
282,dias2013uiyl,2013-10-17,12:09:21.019,53.70621,0.945,-6.37776,1.423,0.0,0.436,104.1,39,1.25
283,dias2013uiyy,2013-10-17,12:24:19.257,54.83776,1.572,-6.1743,1.226,0.0,0.638,83.1,39,1.27
284,dias2013uize,2013-10-17,12:31:57.254,54.12915,0.699,-7.26088,1.091,0.0,0.468,58.9,66,1.14
286,dias2013ukqt,2013-10-18,10:31:55.243,53.94587,0.981,-6.72626,1.63,0.0,0.424,80.8,30,1.18
287,dias2013ukqu,2013-10-18,10:33:12.444,53.95311,1.115,-6.70031,1.685,0.0,0.475,82.8,25,1.28
288,dias2013ukxc,2013-10-18,13:44:55.848,54.37224,0.966,-7.72637,1.615,0.0,0.469,71.1,29,1.45
289,dias2013uqez,2013-10-21,11:24:12.243,54.32246,0.805,-8.21569,1.18,0.0,0.316,75.7,53,1.45
291,dias2013uqin,2013-10-21,13:12:08.232,54.30188,0.774,-8.14476,1.218,0.0,0.519,64.2,52,1.29
292,dias2013uqpj,2013-10-21,16:39:20.113,52.87584,1.339,-8.71265,1.08,0.0,0.488,76.9,32,1.2
293,dias2013usaf,2013-10-22,11:15:45.030,55.13367,0.283,-7.95567,0.283,0.0,0.15,179.0,31,0.7
294,dias2013usds,2013-10-22,13:02:56.430,53.42583,1.689,-8.95011,1.168,0.0,0.437,99.9,20,1.23
296,dias2013usem,2013-10-22,13:25:22.933,53.7817,1.808,-9.30765,2.275,0.0,0.477,166.3,17,1.19
297,dias2013usft,2013-10-22,14:04:38.733,52.34928,1.288,-9.74272,2.252,0.0,0.618,114.2,19,0.92
298,dias2013utwo,2013-10-23,11:41:47.600,54.17442,1.044,-7.71884,1.472,0.0,0.727,90.5,27,1.28
299,dias2013utwx,2013-10-23,11:52:01.557,52.56388,1.314,-7.70978,1.225,0.0,0.359,76.1,27,1.3
300,dias2013uuah,2013-10-23,13:35:31.814,52.75944,1.382,-6.13144,1.345,0.0,0.445,141.1,30,1.37
302,dias2013uvqq,2013-10-24,10:58:32.041,53.69187,1.461,-6.33776,1.692,0.0,0.453,112.0,22,0.73
303,dias2013uvrs,2013-10-24,11:30:54.892,52.44976,1.25,-8.73834,1.289,0.0,0.392,80.2,28,1.03
304,dias2013uvww,2013-10-24,14:08:04.018,53.7817,1.423,-7.7119,1.333,0.0,0.396,114.2,25,1.11
305,dias2013uvxj,2013-10-24,14:22:41.930,52.28423,1.711,-7.14234,1.309,0.0,0.563,169.8,38,1.5
306,dias2013uxnf,2013-10-25,11:30:40.570,55.0165,0.354,-8.301,0.354,0.0,0.27,115.0,35,0.93
307,dias2013uxpi,2013-10-25,12:35:35.973,53.92926,0.966,-7.34265,1.388,0.0,0.361,81.3,38,1.43
308,dias2013uxqd,2013-10-25,12:59:40.451,53.85633,0.881,-8.82319,1.115,0.0,0.525,75.6,42,1.46
309,dias2013uxso,2013-10-25,14:13:21.127,54.37045,0.872,-7.7151,1.357,0.0,0.474,71.8,36,0.92
310,dias2013uxsr,2013-10-25,14:17:11.623,55.05252,2.405,-6.78178,1.175,0.0,0.405,155.1,32,1.21
311,dias2013vddj,2013-10-28,13:21:52.432,54.41151,1.555,-5.91915,1.13,0.0,0.441,93.0,25,1.11
312,dias2013vdfn,2013-10-28,14:27:26.149,54.95106,2.19,-6.58333,1.326,0.0,0.501,135.3,21,1.11
313,dias2013veuf,2013-10-29,11:00:29.194,54.67746,1.485,-6.04826,1.331,0.0,0.649,72.5,23,1.44
314,dias2013veyc,2013-10-29,12:58:24.461,54.89924,2.25,-6.17377,1.191,0.0,0.561,81.9,25,1.33
315,dias2013vgws,2013-10-30,14:32:02.759,53.69784,1.006,-6.39022,1.434,0.0,0.546,103.3,35,1.35
316,dias2013vioc,2013-10-31,12:27:55.908,52.58319,1.364,-9.05023,1.716,0.0,0.563,117.8,22,1.33
317,dias2013viov,2013-10-31,12:50:12.497,54.98153,1.732,-7.88222,1.223,0.0,0.538,113.8,30,0.88
319,dias2013vitb,2013-10-31,14:58:31.756,53.41037,1.079,-6.30225,1.514,0.0,0.598,54.7,31,1.31
320,dias2013vkhs,2013-11-01,11:30:05.917,53.2114,1.886,-6.40935,1.275,0.0,0.474,92.3,20,1.01
321,dias2013vkir,2013-11-01,11:59:31.136,53.48634,1.115,-8.97572,1.313,0.0,0.344,106.2,30,1.37
322,dias2013vkkd,2013-11-01,12:44:20.866,53.20808,1.16,-6.91196,0.871,0.0,0.433,67.1,37,1.36
