lon_ev,lat_ev,id-ev,lon-quarry,lat-quarry
-6.31953,53.40448,dias2014uubc,-6.332346,53.4044
-7.63659,54.53079,dias2014ixge,-7.642142,54.5191
-7.57635,54.55241,dias2014jgge,-7.573405,54.5397
-9.01604,53.31927,dias2013olqe,-9.007666,53.3092
-6.93254,53.21259,dias2014gjjn,-6.926918,53.2237
-6.92199,53.21219,dias2014lhgj,-6.926918,53.2237
-7.1661,52.61236,dias2014utzo,-7.178395,52.6166
-7.18765,52.59332,dias2013qkux,-7.200083,52.5985
-7.07932,52.34433,dias2013udkc,-7.090486,52.3375
-7.52843,52.96199,dias2014ivoq,-7.522619,52.9731
-7.69693,52.84982,dias2014spor,-7.71104,52.8489
-8.21569,54.32246,dias2013uqez,-8.228032,54.3226
-8.21542,54.32605,dias2014hvsq,-8.228032,54.3226
-8.12219,54.3037,dias2013qxkm,-8.134161,54.3006
-8.72878,52.46093,dias2014gwin,-8.735406,52.4503
-9.04563,52.58119,dias2013txxg,-9.035784,52.5739
-8.78929,52.50027,dias2014mttw,-8.799313,52.5097
-8.69547,52.65422,dias2014hmva,-8.703378,52.6437
-8.7037,52.65624,dias2014xsyg,-8.703378,52.6437
-7.64919,53.90533,dias2013tdzj,-7.63742,53.9018
-6.39048,53.69324,dias2013suwc,-6.397679,53.6828
-6.40671,53.67223,dias2013vpyr,-6.397679,53.6828
-6.38687,53.68845,dias2013xsvj,-6.397679,53.6828
-6.41075,53.6807,dias2014aytl,-6.397679,53.6828
-6.38549,53.68385,dias2014ikko,-6.397679,53.6828
-6.38547,53.68378,dias2014xqyx,-6.397679,53.6828
-9.72508,54.13559,dias2014tozv,-9.732587,54.1451
-8.935,53.80112,dias2014shwr,-8.934143,53.7884
-9.2626,53.86715,dias2013lmvt,-9.273528,53.8605
-9.25452,54.19495,dias2014shxl,-9.242224,54.1939
-9.158,53.57855,dias2014wnpe,-9.165085,53.5671
-7.11559,53.73794,dias2013rrls,-7.115949,53.7247
-6.82219,53.49219,dias2014sgea,-6.834651,53.4975
-6.82747,53.48643,dias2014yaik,-6.834651,53.4975
-8.25296,53.97485,dias2014ekju,-8.25619,53.9626
-8.53767,54.21133,dias2013loui,-8.525902,54.2146
-7.92726,52.88778,dias2014sian,-7.915074,52.8938
-7.67931,52.70507,dias2014phlf,-7.683089,52.7167
-8.42518,52.76474,dias2014imhd,-8.412264,52.7701
-7.83753,52.53833,dias2014fjxq,-7.844765,52.5482
-7.71624,52.55813,dias2013nidw,-7.722019,52.5688
-7.70978,52.56388,dias2013utwx,-7.722019,52.5688
-7.71597,52.55672,dias2014jjyc,-7.722019,52.5688
-6.94042,54.55663,dias2013rvje,-6.928248,54.551
-6.76713,54.62524,dias2014bclu,-6.758108,54.6171
-6.76689,54.60753,dias2014twgm,-6.758108,54.6171
-6.76728,54.60872,dias2014wgfz,-6.758108,54.6171
-7.52486,54.588,dias2014jwvw,-7.513353,54.5943
-7.38951,54.38776,dias2013kwhe,-7.378597,54.3797
-7.38563,54.39038,dias2013swqq,-7.378597,54.3797
-7.38856,54.38762,dias2014kyfe,-7.378597,54.3797
-7.34114,53.60909,dias2014axaa,-7.328323,53.6133
-7.33594,53.62421,dias2014hxny,-7.328323,53.6133
-7.14668,53.42524,dias2014xcks,-7.138017,53.4341
-6.90255,54.57212,dias2014jnuv,-6.906889,54.560509
-8.43267,52.31065,dias2013xrbz,-8.423272,52.300223
-8.208,55.05283,dias2014ymrg,-8.217788,55.043207
-6.36129,53.68972,dias2014kjot,-6.361663,53.677576
-6.35799,53.68932,dias2014rtkw,-6.361663,53.677576
-8.33032,52.2159,dias2014mvjc,-8.339869,52.224033
-6.49987,53.20623,dias2013swpa,-6.511979,53.207904
-6.28009,54.88547,dias2013rrkw,-6.278509,54.9011
-6.03472,54.6747,dias2013rxbl,-6.019892,54.6798
-5.89265,54.79787,dias2014rpuf,-5.888429,54.8127
-6.72126,54.2576,dias2014scmr,-6.73084,54.2469
-6.60898,54.31958,dias2014jyok,-6.614601,54.3056
-6.61537,54.32131,dias2014spiw,-6.614601,54.3056
-6.63137,54.39934,dias2014exch,-6.634998,54.3838
-6.60188,54.25241,dias2014fpla,-6.586716,54.2518
-6.57365,54.25886,dias2014yshe,-6.586716,54.2518
-6.56898,54.24413,dias2013tsnj,-6.582737,54.2381
-6.42112,54.34781,dias2014guhz,-6.408416,54.341
-6.96911,52.79314,dias2014fcln,-6.983031,52.7964
-6.89179,53.95529,dias2014bjvb,-6.892127,53.9391
-7.70639,54.18374,dias2013ongf,-7.69394,54.1742
-7.70497,54.18374,dias2014lzkz,-7.69394,54.1742
-7.7049,54.16441,dias2014qdes,-7.69394,54.1742
-7.69842,54.18778,dias2014usem,-7.69394,54.1742
-8.71265,52.87584,dias2013uqpj,-8.698416,52.8744
-8.43321,51.83662,dias2014qrzt,-8.443795,51.8257
-8.42969,51.83006,dias2014xqyy,-8.443795,51.8257
-8.79037,51.8483,dias2013slrw,-8.805961,51.8504
